H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202411,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20241101B01,募集量（TSO別）[MW],220,504,1233,305,163,784,341,134,346,4030
20241101B01,応札量合計（電源属地別）[MW],343.99,600.67,319.883,0,163,597,397.119,123,342.99,2887.652
20241101B01,落札量合計（電源属地別）[MW],268,600.67,319.883,0,163,597,300,123,341,2712.553
20241101B01,応札件数（電源属地別）[件],4,4,6,0,1,4,6,4,3,32
20241101B01,落札件数（電源属地別）[件],3,4,6,0,1,4,6,4,2,30
20241101B01,最高落札価格（電源属地別）[円/kW・30分],6.81,19,4.98,0,0.34,7.26,1.05,0.63,4.9,19
20241101B01,最低落札価格（電源属地別）[円/kW・30分],2.16,2.03,0.34,0,0.34,0.34,0.34,0.34,4.71,0.34
20241101B01,平均落札価格（電源属地別）[円/kW・30分],4.73,4.06,1.82,0,0.34,2.91,0.63,0.4,4.75,2.93
20241101B01,最高落札価格（TSO別）[円/kW・30分],6.81,19,4.98,0,0.34,7.26,1.05,0.63,4.9,19
20241101B01,最低落札価格（TSO別）[円/kW・30分],2.16,2.03,0.34,0,0.34,0.34,0.34,0.34,4.71,0.34
20241101B01,平均落札価格（TSO別）[円/kW・30分],4.73,4.06,1.82,0,0.34,2.61,0.65,0.4,4.75,2.93
20241101B01,落札量合計（TSO別）[MW],268,600.67,319.883,0,142,682,236,123,341,2712.553
20241101B01,（内訳）自エリアからの落札量[MW],268,600.67,319.883,0,142,597,236,123,341,2627.553
20241101B02,募集量（TSO別）[MW],217,487,1187,298,147,759,341,130,343,3909
20241101B02,応札量合計（電源属地別）[MW],388.3,600.67,537.883,0,147,597,397.119,113,342.99,3123.962
20241101B02,落札量合計（電源属地別）[MW],283,600.67,537.883,0,147,597,327,113,341,2946.553
20241101B02,応札件数（電源属地別）[件],4,4,7,0,1,4,6,4,3,33
20241101B02,落札件数（電源属地別）[件],3,4,7,0,1,4,6,4,2,31
